Label,Type,Position x,Position y,Orientation,"Angle in counter-clockwise, 0 = +x; for lenses with flat or coating side, angle refers to flat or coating side; for mirrors, angle refers to reflection side; for PBS, angle 0 is incident from +x and reflected in +y; for waveplates, angle refers to side with marked numbers",Secondary Orientation/Angle,"Second orientation is concerned with rotation in the xz or yz plane, with angle still positive in counter-clockwise direction. Angles for waveplates is the rotation of the mount as denoted by the angle mark at the top of the the waveplate",Size,Wavelength(s),Type,Part Number,Price
O-1,dump,16,0,0,,,,,,,,
O-2,mirror,25,0,135,,,,,,,,
O-3,mirror,28,0,135,,,,,,,,
O-4,mirror,44,0,135,,,,,,,,
O-5,dump,13,1,45,,,,,Li Repump,,,
O-6,mirror,28.5,2.5,45,,,,,,,,
O-7,mirror,44.5,2.5,45,,,,,BFL,,,
O-8,dump,21,3,-10,,,,,,,,
O-9,mirror,24.5,2.5,-45,,,,,,,,
O-10,PD,40,3,-45,,,,,,,,
O-11,mirror,47,2.5,135,,,,,BFL,,,
O-12,CS H Imaging,17,5,45,,,,,,,,
O-13,mirror,22.5,4.5,170,,,,,"Li Repump, Li MOT",,,
O-14,dump,41.5,5,-90,,,,,,,,
O-15,Li Repump,8.5,7.5,45,,,,,Li Repump,,,
O-16,Li MOT,11.25,6.75,45,,,,,,,,
O-17,Cs MOT,15,7,45,,,,,,,,
O-18,waveplate,19,7,45,,25,,,Cs H Imaging,1/2 ?,,
O-19,mirror,26,7,45,,,,,Li Zeeman,,,
O-20,lens,28,7,0,,,,,Li Zeeman,,,
O-21,waveplate,33.5,7,0,,232,,,Li Zeeman,,,
O-22,lens,35.5,7,180,,,,,Li Zeeman,,,
O-23,PBS,36.5,7,0,,,,,Li Zeeman,,,
O-24,iris,37,7,0,,,,,Li Zeeman,,,
O-25,Li Zeeman,39,7,180,,,,,,,,
O-26,lens,47,7,-90,,,,,BFL,,,
O-27,Li EOM,2,8,45,,,,,,,,
O-28,waveplate,10,9,-135,,98,,,Li Repump,1/2?,,
O-29,PBS,17,9,-135,,-45,,,Cs MOT,,,
O-30,mirror,20.75,8.75,180,,,,,Cs H Imaging,,,
O-31,lens tube,47,9,90,,,,,BFL,,,
O-32,waveplate,3.5,9.5,-135,,118,,,Li EOM,,,
O-33,mirror,9,10.5,90,,,,,"Cs H Imaging, Cs MOT",,,
O-34,mirror,12.5,10,90,,,,,"Li MOT, Li Repump, Li EOM, Li H Imaging",,,
O-35,mirror,23.5,11,45,,,,,Cs Zeeman,,,
O-36,copper plate,47,10,90,,,,,BFL,,,
O-37,Li H Imaging,2,11,45,,,,,,,,
O-38,quadrant mirror,5,11,180,,,,,Li EOM,,,
O-39,mirror,14.35,11.45,180,,,,,"Li EOM, Li H Imaging",,,
O-40,PBS,15.75,11.25,-135,,,,,"Li Repump, Li MOT",,,
O-41,dump,20.5,10.5,45,,,,,,,,
O-42,dichroic mirror,29,11,45,,,,,Cs Zeeman,,,
O-43,lens,30,11,0,,,,,Cs Zeeman,,,
O-44,waveplate,33,11,0,,270,,,Cs Zeeman,,,
O-45,iris,34,11,0,,,,,Cs Zeeman,,,
O-46,lens,35,11,180,,,,,Cs Zeeman,,,
O-47,PBS,35.5,11,90,,,,,Cs Zeeman,,,
O-48,Cs Zeeman,37,11,180,,,,,,,,
O-49,mirror,47,11,90,,45 upward tilt,,,BFL,,,
O-50,quadrant mirror,3.43,12.73,0,,,,,Li EOM,,,
O-51,PBS,4,13,45,,,,,"Li EOM, Li H Imaging",,,
O-52,mirror,7.75,11.75,0,,,,,"Cs H Imaging, Cs MOT",,,
O-53,waveplate,8.25,11.25,-45,,139,,,"Cs H Imaging, Cs MOT",,,
O-54,waveplate,10,11.5,45,,126,,,"Cs H Imaging, Cs MOT",?,,
O-55.1,waveplate,15,12.5,-135,,112,,,"Li MOT, Li Repump",,,
O-55.2,waveplate,15.5,13,-135,,162,,,"Li MOT, Li Repump",,,
O-55.3,PBS,16,13.5,-45,,,,,"Cs H Imaging, Li MOT, Li Repump",,,
O-56,waveplate,19.5,13.5,-45,,49,,,Cs MOT,1/2 ?,,
O-57,mirror,20.5,12.5,180,,,,,Cs MOT,,,
O-58,dichroic mirror,23.75,13.15,-120,,,,,"Cs Zeeman, Li Zeeman",,,
O-59,waveplate,6.3,15.3,45,,182,,,"Li EOM, Li H Imaging",,,
O-60,dichroic mirror,9.4,13.6,0,,,,,"Cs H Imaging, Li MOT, Li Repump, Cs MOT, Li EOM, Li H Imaging",,,
O-61,lens,10.5,14.65,45,,,,,"Cs H Imaging, Li MOT, Li Repump, Cs MOT, Li EOM, Li H Imaging",,,
O-62,iris,13,14.5,45,,,,,"Cs H Imaging, Cs MOT",,,
O-63,mirror,14,13,-90,,,,,Li Repump,,,
O-64.1,PBS,16.75,14.25,45,,,,,"Li MOT, Li Repump",,,
O-64.2,waveplate,16,15,135,,310,,,"Li MOT, Li Repump",,,
O-64.3,waveplate,15.5,15.5,135,,200,,,"Li MOT, Li Repump",,,
O-65.1,waveplate,18.25,15.75,-135,,182,,,"Li MOT, Li Repump",,,
