Label,Type,Position x,Position y,Orientation,"Angle in counter-clockwise, 0 = +x; for lenses with flat or coating side, angle refers to flat or coating side; for mirrors, angle refers to reflection side; for PBS, angle 0 is incident from +x and reflected in +y; for waveplates, angle refers to side with marked numbers",Secondary Orientation/Angle,"Second orientation is concerned with rotation in the xz or yz plane, with angle still positive in counter-clockwise direction. Angles for waveplates is the rotation of the mount as denoted by the angle mark at the top of the the waveplate",Size,Wavelength(s),Type,Part Number,Price
O-150,empty,,,,,,,,,,,
O-151,mirror,55,61,135,,,,,OTOP,,,
O-152,double waveplate,51,61,0,,"270, 140",,,OTOP,,,
O-153,AOM,49.5,61,180,,,,,OTOP,,,
O-154,lens,47.5,61,0,,,,,OTOP,,,
O-155,lens,46,59,90,,,,,OTOP,,,
O-156,mirror,45.8,60.9,45,,,,,OTOP,,,
O-157,dump,45.57,61.3,45,,,,,OTOP,,,
O-158,mirror,42,61.15,-45,,,,,OTOP,,,
O-159,mirror,46,64,-90,,,,,OTOP,,,
O-160,mirror,44.5,66,45,,,,,OTOP,,,
O-161,lens,56.5,64,-90,,,,,OTOP,,,
O-162,telescope lens tube,50,66,0,,,,,OTOP,,,
O-163,mirror,55,66,-135,,,,,OTOP,,,
O-164,mirror,56.5,67.5,45,,,,,OTOP,,,
O-165,PBS,50,67.5,90,,,,,OTOP,,,
O-166,waveplate,46.5,67.5,0,,298,,,OTOP,1/2 ?,,
O-167,PBS,44.5,67.5,0,,,,,OTOP,,,
O-168,mirror,51,2,90,,45 downward tilt,,,,,,
O-169,waveplate,51,5,-90,,265,,,,,,
O-170,lens,50,10,90,,,,,,,,
O-171,mirror,49,16,135,,,,,,,,
O-172,iris,48,16,0,,,,,,,,
O-173,lens,48.5,17.5,-90,,,,,,,,
O-174,lens,51,19,-90,,,,,,,,
O-175,lens,51,21,135,,,,,,,,
O-176,50-50 beam splitter,50,21.5,-45,,,,,,,,
O-177,waveplate,48,21,180,,185,,,,,,
O-178,lens,46,21,180,,,,,,,,
O-179,lens,44,21,45,,,,,,,,
O-180,iris,44,24,90,,,,,,,,
O-181,PBS,44,27,180,,,,,,,,
O-182,PD,44,30,-90,,,,,,,,
O-183,PD,41,26.5,0,,,,,,,,
O-191,mirror,6,30,45,,,,,"Cs V Optical Pump, RSC",,,
O-192,waveplate,8,30,180,,245,,,"Cs V Optical Pump, RSC",,,
O-193,waveplate,9,30,180,,270,,,"Cs V Optical Pump, RSC",,,
O-194,waveplate,11,30,180,,84,,,"Cs V Optical Pump, RSC",,,
O-195,iris,12,30,0,,,,,"Cs V Optical Pump, RSC",,,
O-196,mirror,13,32,45,,,,,Cs MOT,,,
O-197,waveplate,13,34,90,,285,,,Cs MOT,,,
O-198,iris,13,35,90,,,,,Cs MOT,,,
O-199,lens,13,37,90,,,,,Cs MOT,,,
O-200,empty,14,38,90,,,,,,,,
O-201,waveplate,14.1,40,270,,110,,,Cs V Imaging,,,
O-202,mirror,14.1,41.9,-135,,,,,Cs V Imaging,,,
O-203,Cs V Imaging laser,8.5,41.9,0,,,,,,,,
O-204,iris,10,41.9,0,,,,,Cs V Imaging,,,
O-205,waveplate,12,41.9,180,,290,,,Cs V Imaging,,,
O-206,mirror,14.05,27.95,45,,,,,"Cs MOT, Cs V Imaging",,,
O-207,waveplate,17,28,180,,291,,,"Cs MOT, Cs V Imaging",,,
O-208,waveplate,14.05,31,90,,228,,,"Cs MOT, Cs V Imaging",,,
O-209,PBS,14.05,32,180,(bit unsure),,,,"Cs MOT, Cs V Imaging",,,
O-210,mirror,18,35,45,,,,,"Li Repump, Li MOT",,,
O-211,lens,18,37.5,90,,,,,"Li Repump, Li MOT",,,
O-212,dichroic mirror,21,28,45,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-213,mirror,18,30,-135,,,,,"Cs V Optical Pump, RSC",,,
O-214,mirror,18.05,27.75,45,,,,,"Cs V Optical Pump, RSC",,,
O-214.5,periscope mirror,6,39,-90,,45 upward tilt on mount,,,"Cs V Optical Pump, RSC",,,
O-215,PBS,21,35,180,unsure,,,,"Li Repump, Li MOT, Li V Imaging",,,
O-216,waveplate,21,33,-90,,172,,,"Li Repump, Li MOT, Li V Imaging",,,
O-217,mirror,29,28,140,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-218,lens,13,46,-90,,,,,Cs MOT,,,
O-219,mirror,13,48.4,-45,,,,,Cs MOT,,,
O-220,lens,18,46,-90,,,,,"Li Repump, Li MOT",,,
O-221,waveplate,18,47,90,,258,,,"Li Repump, Li MOT",,,
O-222,mirror,18,48.6,-45,,,,,"Li Repump, Li MOT",,,
O-223,mirror,20.9,45.5,-45,,,,,Li V Imaging,,,
O-224,waveplate,22.5,45.5,0,,281,,,Li V Imaging,,,
O-225,Li V Imaging laser,24,45.5,180,,,,,,,,
O-226,quadrant mirror,22,49,180,,,,,,,,
O-227,dump,14,53,-45,,,,,,,,
O-228,periscope mirror,27,48.5,180,,45 upward tilt on mount,,,Cs MOT,,,
O-229,iris,20.9,43.5,90,,,,,Li V Imaging,,,
O-230,mirror,28,32,-40,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-256,iris,18,41,90,,,,,"Li Repump, Li MOT",,,
O-267,OTOP laser,44.5,68,-90,,,,,,,,
O-268,dump,56.5,53,90,,,,,OTOP,,,
O-269,mirror,46,54,45,,,,,OTOP,,,
O-270,dump,52,54,180,,,,,OTOP,,,
O-271,lens,42,54.5,-90,,,,,OTOP,,,
O-272,waveplate,42,52,90,,105,,,OTOP,,,
O-273,mirror,42,50,45,,,,,OTOP,,,
O-274,periscope mirror,49,50,180,,45 upward tilt,,,OTOP,,,
O-289,dump,50.5,29,-90,,,,,,,,
O-290,dump,50.5,31,90,,,,,,,,
O-291,dump,52.5,39,-90,,,,,,,,
O-292,mirror,52.5,41,80,,,,,,,,
O-293,dump,21,21,90,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-294,tall mirror,43.5,54,180,,,,,,,,
O-295,tall waveplate,41.5,54,0,,,,,,,,
O(bottom viewport)-303,mirror,33,32,180,,45 upward tilt,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
