Label,Type,Position x,Position y,Orientation,"Angle in counter-clockwise, 0 = +x; for lenses with flat or coating side, angle refers to flat or coating side; for mirrors, angle refers to reflection side; for PBS, angle 0 is incident from +x and reflected in +y; for waveplates, angle refers to side with marked numbers",Secondary Orientation/Angle,"Second orientation is concerned with rotation in the xz or yz plane, with angle still positive in counter-clockwise direction. Angles for waveplates is the rotation of the mount as denoted by the angle mark at the top of the the waveplate",Size,Wavelength(s),Type,Part Number,Price
O-1,empty,,,,,,,,,,,
O-2,mirror,26,2,135,,,,,,,,
O-3,mirror,22,4,135,,,,,,,,
O-4,mirror,8,16,90,,,,,,,,
O-5,dump,13.3,45.3,-45,,,,,,,,
O-6,mirror,8,14,90,,,,,,,,
O-7,mirror,44.5,26,45,,,,,BFL,,,
O-8,empty,,,,,,,,,,,
O-9,mirror,36,26,-105,,,,,,,,
O-10,PD,40,11,-45,,,,,,,,
O-11,mirror,47,26,135,,,,,BFL,,,
O-12,Cs H Imaging,4,20,-45,,,,,,,,
O-13,mirror,19.6,7,135,,,,,"Li Repump, Li MOT",,,
O-14,empty,,,,,,,,,,,
O-15,Li Repump,12,12,45,,,,,Li Repump,,,
O-16,Li MOT,9.5,11.5,45,,,,,,,,
O-17,Cs MOT,7,11,45,,,,,,,,
O-18,waveplate,5.5,16.5,-45,,25,,,Cs H Imaging,1/2 ?,,
O-19,large mirror,26,16,-135,,,,,Li Zeeman,,,
O-20,lens,26,12,-90,,,,,Li Zeeman,,,
O-21,waveplate,22,2,0,,232,,,Li Zeeman,,,
O-22,lens,26,4.5,90,,,,,Li Zeeman,,,
O-23,PBS,23,2,0,,,,,Li Zeeman,,,
O-24,iris,26,3,90,,,,,Li Zeeman,,,
O-25,Li Zeeman,21,2,0,,,,,,,,
O-26,lens,47,49,-90,,,,,BFL,,,
O-27,Li EOM,4,14,45,,,,,,,,
O-28,waveplate,13,13,45,,98,,,Li Repump,1/2?,,
O-29,PBS,11.5,15.5,45,,-45,,,Cs MOT,,,
O-30,mirror,8.5,21.5,-90,,,,,Cs H Imaging,,,
O-31,lens tube,47,51,90,,,,,BFL,,,
O-32,waveplate,5,15,45,,118,,,Li EOM,,,
O-33,empty,,,,,,,,,,,
O-34,mirror,10.95,23.05,0,,,,,"Li MOT, Li Repump, Li EOM, Li H Imaging",,,
O-35,large mirror,24,13.5,135,,,,,Cs Zeeman,,,
O-36,copper plate,47,52,90,,,,,BFL,,,
O-37,Li H Imaging,4.5,17.5,-45,,,,,,,,
O-38,quadrant mirror,7.7,17.7,-90,,,,,Li EOM,,,
O-39,empty,,,,,,,,,,,
O-40,PBS,14,16,-45,,,,,"Li Repump, Li MOT",,,
O-41,dump,14.7,46.7,-45,,,,,,,,
O-42,empty,,,,,,,,,,,
O-43,lens,22,12,-90,,,,,Cs Zeeman,,,
O-44,waveplate,18,4,0,,270,,,Cs Zeeman,,,
O-45,iris,22,6,90,,,,,Cs Zeeman,,,
O-46,lens,22,7,90,,,,,Cs Zeeman,,,
O-47,PBS,19,4,-90,,,,,Cs Zeeman,,,
O-48,Cs Zeeman,17,4,0,,,,,,,,
O-49,mirror,47,53,90,,45 upward tilt,,,BFL,,,
