Label,Type,Position x,Position y,Orientation,"Angle in counter-clockwise, 0 = +x; for lenses with flat or coating side, angle refers to flat or coating side; for mirrors, angle refers to reflection side; for PBS, angle 0 is incident from +x and reflected in +y; for waveplates, angle refers to side with marked numbers",Secondary Orientation/Angle,"Second orientation is concerned with rotation in the xz or yz plane, with angle still positive in counter-clockwise direction. Angles for waveplates is the rotation of the mount as denoted by the angle mark at the top of the the waveplate",Size,Wavelength(s),Type,Part Number,Price
O-191,empty,,,,,,,,,,,
O-192,waveplate,15,13,90,,245,,,"Cs V Optical Pump, RSC",,,
O-193,waveplate,15,14,90,,270,,,"Cs V Optical Pump, RSC",,,
O-194,waveplate,15,16,90,,84,,,"Cs V Optical Pump, RSC",,,
O-195,iris,15,23,90,,,,,"Cs V Optical Pump, RSC",,,
O-196,mirror,13,32,-135,,,,,Cs MOT,,,
O-197,waveplate,13,28,90,,285,,,Cs MOT,,,
O-198,iris,13,27,90,,,,,Cs MOT,,,
O-199,lens,13,25,-90,,,,,Cs MOT,,,
O-200,mirror,13,11.5,135,,,,,,,,
O-201,waveplate,9,19,0,,110,,,Cs V Imaging,,,
O-202,mirror,11,19,135,,,,,Cs V Imaging,,,
O-203,Cs V Imaging laser,4,19,0,,,,,,,,
O-204,iris,6,19,0,,,,,Cs V Imaging,,,
O-205,waveplate,7,19,0,,290,,,Cs V Imaging,,,
O-206,mirror,11,37,-45,,,,,"Cs MOT, Cs V Imaging",,,
O-207,waveplate,13,37,180,,291,,,"Cs MOT, Cs V Imaging",,,
O-208,waveplate,11,34,-90,,228,,,"Cs MOT, Cs V Imaging",,,
O-209,PBS,11,32,0,,,,,"Cs MOT, Cs V Imaging",,,
O-210,mirror,17,32,-45,,,,,"Li Repump, Li MOT",,,
O-211,lens,17,24.5,-90,,,,,"Li Repump, Li MOT",,,
O-212,dichroic mirror,19,37,-45,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-213,empty,,,,,,,,,,,
O-214,mirror,15,37.5,-45,,,,,"Cs V Optical Pump, RSC",,,
O-214.5,periscope mirror,7,47,-90,,45 upward tilt on mount,,,"Cs V Optical Pump, RSC",,,
O-215,PBS,19,32,0,unsure,,,,"Li Repump, Li MOT, Li V Imaging",,,
O-216,waveplate,19,34,90,,172,,,"Li Repump, Li MOT, Li V Imaging",,,
O-217,large mirror,24,37,135,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-218,lens,13,16,90,,,,,Cs MOT,,,
O-219,mirror,15,11,135,,,,,Cs MOT,,,
O-220,lens,17,16,90,,,,,"Li Repump, Li MOT",,,
O-221,waveplate,17,13,-90,,258,,,"Li Repump, Li MOT",,,
O-222,mirror,17,10.5,135,,,,,"Li Repump, Li MOT",,,
O-223,mirror,19,30,-45,,,,,Li V Imaging,,,
O-224,waveplate,6,30,0,,281,,,Li V Imaging,,,
O-225,Li V Imaging laser,4,30,0,,,,,,,,
O-226,quadrant mirror,11,9.5,0,,,,,,,,
O-227,empty,,,,,,,,,,,
O-228,periscope mirror,7,11,0,,45 upward tilt on mount,,,"Cs MOT, Li Repump, Cs MOT",,,
O-229,iris,9,30,0,,,,,Li V Imaging,,,
O-230,large mirror,24,40,-45,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-256,iris,17,21,-90,,,,,"Li Repump, Li MOT",,,
O-293,dump,19,43,-90,,,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O(bottom viewport)-303,large mirror,29,40,180,,45 upward tilt,,,"Li Repump, Li MOT, Cs MOT, Cs V Optical Pump, RSC, Li V Imaging, Cs V Imaging",,,
O-331,PBS,8,19,0,,,,,,,,
O-332,PBS,7,30,90,,,,,,,,
O-333,waveplate,8,30,0,,,,,,,,
