O-number,Type,Setup Location,Position X,Position Y,Orientation,Secondary Orientation,Wavelength,Beam Path,Cleaning Status,Cleaning Comment,Placement Status,Optomechanics Status,Optomech Comments,Final Status,Comment on Status
1,empty,Breadboard,,,,,,,N/A,,FALSE,,,,
2,EO2 mirror,Breadboard,26,2,135,,671,Li Zeeman,Clean,,TRUE,Works [KEEP],,,
3,EO3 mirror,Breadboard,22,4,135,,852,Cs Zeeman,Clean,,TRUE,Works [KEEP],,,
4,EO3 mirror,Breadboard,8,16,90,,852,Cs H Imaging,Cleaning,,FALSE,,,,Replaced by O-539
5,dump,Breadboard,13.3,45.3,-45,,,"RSC, Cs V Optical Pump",N/A,,FALSE,,,,
6,EO2 mirror,Breadboard,8,14,90,,671,Li H Imaging,Dirty,,FALSE,Works [KEEP],,Replaced,Replace with O-505
7,1064 mirror,Breadboard,44.5,26,45,,,BFL,Cleaning,,TRUE,Works [KEEP],,,
8,empty,Breadboard,,,,,,,N/A,,FALSE,,,,
9,1064 mirror,Breadboard,36,26,-105,,,,Clean,,TRUE,Works [KEEP],,,Replaced with 
10,PD,Breadboard,40,11,-45,,,,Cleaning,,FALSE,,,,
11,mirror,Breadboard,47,26,135,,,BFL,Cleaning,,TRUE,Works [KEEP],,,
12,Cs H Imaging,Not in Diagram,4,20,-45,,,,Broken,,TRUE,Broken [REPLACE],knobs,Replaced,Replaced with O-525
13,mirror,Breadboard,19.6,7,135,,671,"Li Repump, Li MOT, Cs MOT",Broken,,FALSE,,,,
14,empty,Breadboard,,,,,,,N/A,,FALSE,,,,
15,Li Repump,Not in Diagram,12,12,45,,671,Li Repump,Broken,,FALSE,Broken [REPLACE],knobs bad,Replaced,Replaced with O-520
16,Li MOT,Not in Diagram,9.5,11.5,45,,,,Broken,,TRUE,Broken [REPLACE],knobs were bad,,Replaced with O-538
18,671 HWP,Breadboard,3.5,14.5,45,25,671,Li H Imaging,Dirty,,TRUE,Works [KEEP],,All good,Replaced O-32
19,large mirror,Breadboard,26,16,-135,,671,Li Zeeman,Clean,,FALSE,,,,
20,lens,Breadboard,26,12,-90,,671,Li Zeeman,Clean,,TRUE,Works [KEEP],,,
21,waveplate,Breadboard,22,2,0,232,671,Li Zeeman,Clean,,TRUE,Works [KEEP],,,
22,lens,Breadboard,26,4.5,90,,671,Li Zeeman,Clean,,TRUE,Works [KEEP],,,
23,PBS,Breadboard,23,2,0,,671,Li Zeeman,Clean,,TRUE,Works [KEEP],Consider changing set screw that is rusted,,
24,iris,Breadboard,26,3,90,,671,Li Zeeman,Broken,,FALSE,,,,
25,Li Zeeman,Not in Diagram,21,2,0,,,,Broken,Whole optic needs to be replaced. ,TRUE,Broken [REPLACE],knobs (bottom left),,
26,lens,Breadboard,47,49,-90,,,BFL,Cleaning,,TRUE,Works [KEEP],,,
27,Li EOM,Not in Diagram,,,,,,,Broken,,TRUE,Works [KEEP],maybe check again had to use hex key bc it was very tight,Replaced,Replaced with O-519
28,waveplate,Breadboard,13,13,45,98,671,Li Repump,Cleaning,,FALSE,Works [KEEP],,,
29,PBS,Breadboard,11.5,15.5,45,-45,852,Cs MOT,Cleaning,,FALSE,,,Replaced,Replaced with O-503
30,mirror,Breadboard,8.5,21.5,-90,,852,"Li H Imaging, Li EOM",Cleaning,,FALSE,,,,
31,lens tube,Breadboard,47,51,90,,,BFL,,,FALSE,,,,
32,waveplate,Breadboard,5,15,45,118,671,Li EOM,Broken,,FALSE,,,Replaced,Replaced by O-55.2
33,empty,Breadboard,,,,,,,Clean,,FALSE,,,,
34,mirror,Breadboard,10.95,23.05,0,,852,"Cs MOT, Cs H Imaging",Clean,,TRUE,Works [KEEP],,,replaced by o-541
35,large mirror,Breadboard,24,13.5,135,,852,Cs Zeeman,Clean,,TRUE,Works [KEEP],,,
36,copper plate,Breadboard,47,52,90,,,BFL,,,FALSE,,,,
37,Li H Imaging,Not in Diagram,4.5,17.5,-45,,,Li H Imaging,Clean,,FALSE,Works [KEEP],knob bottom right,Replaced,"currently c230, will be replaced with O-527"
38,quadrant mirror,Breadboard,8.3,14.75,90,,671,Li EOM,Clean,,FALSE,Works [KEEP],,Replaced,Replaced O-50
39,empty,Breadboard,,,,,,,Clean,,FALSE,,,,
40,PBS,Breadboard,14,16,-45,,671,"Li Repump, Li MOT",Clean,,TRUE,Works [KEEP],,,
41,dump,Breadboard,14.7,46.7,-45,,,,N/A,,FALSE,,,,
42,empty,Breadboard,,,,,,,Clean,,FALSE,,,,
43,lens,Breadboard,22,12,-90,,852,Cs Zeeman,Clean,,TRUE,Works [KEEP],,,
44,waveplate,Breadboard,18,4,0,270,852,Cs Zeeman,Clean,,TRUE,Works [KEEP],,,
45,iris,Breadboard,22,6,90,,852,Cs Zeeman,Broken,,FALSE,,,,
46,lens,Breadboard,22,7,90,,852,Cs Zeeman,Clean,,TRUE,Works [KEEP],,,
47,PBS,Breadboard,19,4,-90,,852,Cs Zeeman,Cleaning,,TRUE,Works [KEEP],replaced knobs,,
48,Cs Zeeman,Not in Diagram,17,4,0,,,,Cleaning,Whole optic needs to be replaced. ,TRUE,Broken [REPLACE],knobs,,
49,mirror,Breadboard,47,53,90,45 upward tilt,,BFL,,,FALSE,,,,
50,quadrant mirror,Breadboard,9.9,15.63,90,,671,Li EOM,Clean,,FALSE,,,,Replaced by O-38
51,PBS,Breadboard,10.5,16.5,-45,,671,"Li EOM, Li H Imaging",Clean,,TRUE,Works [KEEP],,Replaced,Replaced with O-516
52,empty,Breadboard,,,,,,,Clean,,FALSE,,,,
53,671 qwp,Breadboard,14,24,-45,139,671,"Li EOM, Li Repump, Li MOT, Li H Imaging",Clean,,TRUE,Works [KEEP],Used new custom mount,All good,
54,671 half waveplate,Breadboard,14.5,23.5,-45,126,671,"Li EOM, Li Repump, Li MOT, Li H Imaging",Clean,,TRUE,Works [KEEP],Used new custom mount,All good,
55.1,quarter waveplate,Breadboard,11.8,22.2,-45,162,852,"Cs MOT, Cs H Imaging",Clean-ish,,FALSE,Broken [REPLACE],cannot rotate,,
55.2,671 half waveplate,Breadboard,3.5,14.5,45,112,852,"Cs MOT, Cs H Imaging",Clean,,TRUE,Works [KEEP],cannot rotate,All good,Replaced O-32. (Might be 852??) . Replaced by O-543
56,waveplate,Breadboard,10.9,14.9,45,49,852,Cs MOT,Clean,,TRUE,Works [KEEP],,,
57,empty,Breadboard,,,,,,,Clean,,FALSE,,,,
58,dichroic mirror,Breadboard,24,16,45,,N/A,"Cs Zeeman, Li Zeeman",Clean,,TRUE,Broken [REPLACE],knobs,,
59,852 HWP,Breadboard,6.7,14.7,45,182,852,Cs H Imaging,Clean,,TRUE,Works [KEEP],,All good,
60,dichroic mirror,Breadboard,13,25,0,,N/A,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",Clean,,TRUE,Works [KEEP],,,Cracked at edge
61,lens,Breadboard,15,27,45,,N/A,"Li Repump, Li MOT, Li EOM, Cs MOT, Cs H Imaging, Li H Imaging",,,TRUE,Works [KEEP],,,
62,iris,Breadboard,15.4,22.6,-45,,N/A,"Li EOM, Li Repump, Li MOT, Li H Imaging",Broken,,TRUE,,,Replaced,Replaced by O-511
63,mirror,Breadboard,15,15,180,,671,Li Repump,Clean,,TRUE,Works [KEEP],Optomechanics work. Optic still has first contact on it though. ,,
64.1,PBS,Breadboard,12.5,20.5,-45,,852,"Cs MOT, Cs H Imaging",Clean,,TRUE,Works [KEEP],Replaced with new custom optomechanics. ,All good,
64.2,half waveplate,Breadboard,13.6,21.6,45,200,852,Cs MOT,Clean,,TRUE,Works [KEEP],Replaced with new custom optomechanics. ,All good,
64.3,quarter waveplate,Breadboard,14.2,22.2,45,310,852,Cs MOT,Clean,,TRUE,Works [KEEP],Replaced with new custom optomechanics. ,All good,
65,waveplate,Breadboard,17.4,20.6,-45,182,671,"Li MOT, Li Repump",Not a waveplate???,,TRUE,Works [KEEP],,,
65.1,waveplate,Not in Diagram,17.4,20.6,-45,182,671,"Li MOT, Li Repump",Clean,,TRUE,Works [KEEP],,All good,Placed where O-65 would go since O-65 is not a waveplate. 
66,empty,Breadboard,,,,,,,Clean,,FALSE,,,,
67,large mirror,Breadboard,22,13.5,-45,,671,Li Zeeman,Clean,,TRUE,Works [KEEP],,,
68,quadrant mirror,Breadboard,34.8,23.8,95,,852,Cs (H) Optical Pump,Broken,,FALSE,,,,
69,lens,Breadboard,15,45,-45,,671,"Li Repump, Li MOT, Cs MOT",,,FALSE,,,,
70,mirror,Breadboard,14,46,-45,,671,"Li Repump, Li MOT, Cs MOT",Broken,,FALSE,,,,
71,PD,Breadboard,45,55,180,,,,,,FALSE,,,,
72.1,empty,Breadboard,,,,,,,,,FALSE,,,,
72.2,empty,Breadboard,,,,,,,,,FALSE,,,,
73,lens tube,Breadboard,47,59,90,,,BFL,,,FALSE,,,,
74,PBS,Breadboard,1,27,0,,,OTOP,Clean,,TRUE,Works [KEEP],,,
75,PD,Breadboard,4.5,27,180,,,OTOP,,,FALSE,,,,
17,Cs MOT,Breadboard,7,11,45,,,,Broken,,TRUE,Works [KEEP],,Replaced,Replaced with O-523
76.1,waveplate,Breadboard,17.2,23.2,45,60,671,"Li MOT, Li Repump",Cleaning,,TRUE,Works [KEEP],New custom optomech. ,All good,Moved it to new optomechanic (custom) mount. Next to 76.2 and PBS. 
76.2,waveplate,Breadboard,16.6,22.6,45,7,671,"Li Repump, Li MOT",Clean,,TRUE,Works [KEEP],New custom optomech. ,All good,Placed. 
76.3,PBS,Breadboard,16,22,-45,,671,"Li EOM, Li Repump, Li MOT, Li H Imaging",Clean,,FALSE,Works [KEEP],,Replaced,"The optic was labeled as placed on the breadboard, but it is missing. Replaced with O-531"
77,waveplate,Breadboard,14.4,19.6,-45,342,852,Cs MOT,Clean-ish,,TRUE,Works [KEEP],,All good,Placed it in the right spot along the beampath sort of aligned with the O-64 optics
78.1,waveplate,Breadboard,17.4,19.4,45,24,671,"Li MOT, Li Repump",Broken,,FALSE,,,Replaced,Replaced by O-532
78.2,PBS,Breadboard,18,20,-45,,671,"Li MOT, Li Repump",Clean,,FALSE,,,Replaced,Replaced by O-534
78.3,waveplate,Breadboard,18.6,20.6,45,14,671,"Li MOT, Li Repump",Broken,,FALSE,,,Replaced,Replaced by O-533
79.1,PBS,Breadboard,15,19,-45,,852,Cs MOT,Clean,,TRUE,Broken [REPLACE],Same as below. PBS is missing from mount too???,,
79.2,waveplate,Breadboard,15.6,19.6,45,337,852,Cs MOT,Clean-ish,,TRUE,Broken [REPLACE],Optomech completely needs replacement. ,,
80,50-50 beam splitter,Breadboard,1,28,45,,,OTOP,,,FALSE,,,,
81,mirror,Breadboard,3,28,135,,,OTOP,,,FALSE,,,,
82,EO2 mirror,Breadboard,6,22,-90,,852,"Li EOM, Li H Imaging, Cs H Imaging",Clean,,TRUE,Works [KEEP],,,
83,iris,Breadboard,17.8,23.8,45,,852,"Li MOT, Li Repump",Broken,,FALSE,,,,
84,small PD,Breadboard,16.3,8.7,45,,,Li Repump,Broken,,FALSE,,,,
85,mirror,Breadboard,1,30,-45,,,OTOP,,,TRUE,Works [KEEP],,,
86,mirror,Breadboard,5,30,135,,,OTOP,Clean,,FALSE,,,,
87,mirror,Breadboard,29,15,90,,852,"Li Repump, Li MOT, Cs MOT",Clean,,FALSE,,,,
