Group,Color,StrokeWidth,x1,y1,x2,y2
left breadboard,#ff7d78,4,3.5,1.5,30.5,1.5
left breadboard,#ff7d78,4,3.5,1.5,3.5,52.5
left breadboard,#ff7d78,4,30.5,1.5,30.5,27.5
left breadboard,#ff7d78,4,24.5,27.5,30.5,27.5
left breadboard,#ff7d78,4,24.5,27.5,24.5,52.5
left breadboard,#ff7d78,4,3.5,52.5,24.5,52.5
right breadboard,#ff7d78,4,31.5,1.5,52.5,1.5
right breadboard,#ff7d78,4,52.5,1.5,52.5,82.5
right breadboard,#ff7d78,4,31.5,1.5,31.5,52.5
right breadboard,#ff7d78,4,31.5,52.5,37.5,52.5
right breadboard,#ff7d78,4,37.5,52.5,37.5,68.5
right breadboard,#ff7d78,4,31.5,68.5,37.5,68.5
right breadboard,#ff7d78,4,31.5,68.5,31.5,82.5
right breadboard,#ff7d78,4,31.5,82.5,52.5,82.5
top breadboard,#75d5ff,4,40,30.5,40,54.5
top breadboard,#75d5ff,4,16,30.5,16,54.5
top breadboard,#75d5ff,4,16,30.5,40,30.5
top breadboard,#75d5ff,4,16,54.5,40,54.5
