Name,Color,Src,Dest
BFL,#42a5f5,O-150,O-138
BFL,#42a5f5,O-138,O-11
BFL,#42a5f5,O-11,O-7
BFL,#42a5f5,O-7,O-122
BFL,#42a5f5,O-122,O-134
BFL,#42a5f5,O-134,O-139
BFL,#42a5f5,O-139,O-189
BFL,#42a5f5,O-134,O-190
Cs H Imaging,#e06c75,O-519,O-18
Cs H Imaging,#e06c75,O-18,O-540
Cs H Imaging,#e06c75,O-540,O-38
Cs H Imaging,#e06c75,O-38,O-516
Cs H Imaging,#e06c75,O-516,O-517
Cs H Imaging,#e06c75,O-517,O-330
Cs H Imaging,#e06c75,O-330,O-531
Cs H Imaging,#e06c75,O-531,O-54
Cs H Imaging,#e06c75,O-54,O-53
Cs H Imaging,#e06c75,O-53,O-60
Cs H Imaging,#e06c75,O-60,O-94.2
Cs H Imaging,#e06c75,O-517,O-82
Cs H Imaging,#e06c75,O-82,O-325
Cs H Optical Pump,#ff80ab,O-127,O-124
Cs H Optical Pump,#ff80ab,O-124,O-126
Cs H Optical Pump,#ff80ab,O-126,O-123
Cs H Optical Pump,#ff80ab,O-123,O-9
Cs H Optical Pump,#ff80ab,O-9,O-68
Cs H Optical Pump,#ff80ab,O-68,O-41
Cs MOT,#c678dd,O-17,O-98
Cs MOT,#c678dd,O-98,O-250
Cs MOT,#c678dd,O-79.1,O-34
Cs MOT,#c678dd,O-64.1,O-93
Cs MOT,#c678dd,O-306,O-104
Cs MOT,#c678dd,O-104,O-315
Cs V Optical Pump,#4db6ac,O-116,O-119
Cs V Optical Pump,#4db6ac,O-321,O-309
Cs V Optical Pump,#4db6ac,O-309,O-324
Cs Zeeman,#26c6da,O-48,O-47
Cs Zeeman,#26c6da,O-47,O-3
Cs Zeeman,#26c6da,O-3,O-46
Cs Zeeman,#26c6da,O-46,O-43
Cs Zeeman,#26c6da,O-43,O-67
Cs Zeeman,#26c6da,O-67,O-35
Cs Zeeman,#26c6da,O-35,O-58
Dual Color,#ef5350,O-148,O-129
Dual Color,#ef5350,O-129,O-145
Dual Color,#ef5350,O-145,O-142
Dual Color,#ef5350,O-142,O-266
Dual Color,#ef5350,O-266,O-135
Dual Color,#ef5350,O-135,O-257
Dual Color,#ef5350,O-257,O-258
Dual Color,#ef5350,O-258,O-262
Dual Color,#ef5350,O-262,O-263
Dual Color,#ef5350,O-129,O-71
Dual Color,#ef5350,O-262,O-260
Li EOM,#56b6c2,O-525,O-539
Li EOM,#56b6c2,O-539,O-59
Li EOM,#56b6c2,O-59,O-552
Li EOM,#56b6c2,O-552,O-545
Li EOM,#56b6c2,O-545,O-546
Li EOM,#56b6c2,O-546,O-64.1
Li EOM,#56b6c2,O-64.1,O-543
Li EOM,#56b6c2,O-543,O-544
Li EOM,#56b6c2,O-544,O-541
Li EOM,#56b6c2,O-541,O-60
Li EOM,#56b6c2,O-60,O-94.2
Li EOM,#56b6c2,O-546,O-551
Li EOM,#56b6c2,O-551,O-314
Li H Imaging,#61afef,O-527,O-502
Li H Imaging,#61afef,O-502,O-505
Li H Imaging,#61afef,O-505,O-516
Li H Imaging,#61afef,O-516,O-517
Li H Imaging,#61afef,O-517,O-330
Li H Imaging,#61afef,O-330,O-531
Li H Imaging,#61afef,O-531,O-54
Li H Imaging,#61afef,O-54,O-53
Li H Imaging,#61afef,O-53,O-60
Li H Imaging,#61afef,O-60,O-94.2
Li H Imaging,#61afef,O-517,O-82
Li H Imaging,#61afef,O-82,O-325
Li MOT,#98c379,O-16,O-320
Li MOT,#98c379,O-320,O-40
Li MOT,#98c379,O-40,O-78.2
Li MOT,#98c379,O-78.2,O-185
Li MOT,#98c379,O-185,O-250
Li MOT,#98c379,O-320,O-105
Li MOT,#98c379,O-105,O-313
