# config: table_length=21,table_width=34,origin_x=0,origin_y=0
Label,Type,Position x,Position y,Orientation,In Design,Layer,Annotation
O-1,laser,3.5,9.5,0,TRUE,Default,Imaging
O-2,isolator,5.5,9.5,0,TRUE,Default,
O-3,beam sampler,7.5,9.5,135,TRUE,Default,
O-4,mirror,9.5,9.5,135,TRUE,Default,
O-5,aom,10.5,13.5,90,TRUE,Default,Li MOT AOM
O-6,pbs,12.5,11.5,0,TRUE,Default,
O-7,pbs,10.5,3.5,0,TRUE,Default,
O-8,pbs,12.5,3.5,0,TRUE,Default,
O-9,pbs,17,3,0,TRUE,Default,
O-10,pbs,19,15,0,TRUE,Default,
O-11,pbs,16,19.5,0,TRUE,Default,
O-12,pbs,15,21.5,0,TRUE,Default,
O-13,aom,12.5,13,-90,TRUE,Default,Li Rep AOM
O-14,laser,3.5,7,0,TRUE,Default,Reference
O-15,laser,4.5,1.75,0,TRUE,Default,MOT/TA
O-16,mirror,2,1.75,45,TRUE,Default,
O-17,mirror,2,5.5,-45,TRUE,Default,
O-18,mirror,6.5,4.5,45,TRUE,Default,
O-19,mirror,8.5,5.5,135,TRUE,Default,
O-20,mirror,14,3.5,135,TRUE,Default,
O-21,mirror,15.5,3,45,TRUE,Default,
O-22,mirror,19,3,135,TRUE,Default,
O-23,mirror,17,4.5,225,TRUE,Default,
O-24,polarizer,19,5.5,90,TRUE,Default,
O-25,cell,19,9.5,90,TRUE,Default,
O-26,mirror,16.5,6,84.4003139479927,TRUE,Default,
O-27,mirror,17.5,9,260.72502504368975,TRUE,Default,
O-28,mirror,16.5,13.5,-45,TRUE,Default,
O-29,mirror,17.5,15,45,TRUE,Default,
O-30,pd,19,17.5,90,TRUE,Default,
O-31,pd,17.5,17.5,90,TRUE,Default,
O-32,aom,16.5,10.5,270,TRUE,Default,Li Spec AOM
O-33,mirror,15.5,7,225,TRUE,Default,
O-34,mirror,15,11.5,-225,TRUE,Default,
O-35,mirror,8.5,12,225,TRUE,Default,
O-36,mirror,7.5,13.5,225,TRUE,Default,
O-37,mirror,9.5,16.5,225,TRUE,Default,
O-38,mirror,1.5,16.25,45,TRUE,Default,
O-39,mirror,14,19.5,-45,TRUE,Default,
O-40,mirror,2.5,21.25,0,TRUE,Default,
O-41,mirror,10,25,-45,TRUE,Default,
O-42,mirror,9,25.5,-45,FALSE,Default,
O-44,mirror,15,27.5,-45,TRUE,Default,
